Origin/Source,Company,Role/Title,Role Lane,Role Title Resolution,Date of first contact or application,Current/Final Status,Interview Count,Thread/Dedup Key,Notes/Uncertainty
Jobright.ai application (Not stated) → downstream confirmation: Application email: unframe.ai,Unframe,GTM Engineer (Remote),GTM Engineering,Exact title present in source evidence,2026-04-17,REJECTED,UNKNOWN,Unframe + GTM Engineer (Remote) + 2026-04-17,Rejected 2026-05-12. Jobright log: Not stated; United States; Remote; Not stated.
LinkedIn application,Crash Override,Growth Engineer,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-04-16,GHOSTED,UNKNOWN,Crash Override + Growth Engineer + 2026-04-16,LinkedIn application export; job ID 4402520314; http://www.linkedin.com/jobs/view/4402520314
LinkedIn application → downstream confirmation: ATS: Workable,WallStreetQuants,Marketing / GTM Engineer,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-04-16,GHOSTED,UNKNOWN,WallStreetQuants + Marketing / GTM Engineer + 2026-04-16,21+ days after last Step 1 activity. LinkedIn Easy Apply/export record: job ID 4402656770; application date 2026-04-16; http://www.linkedin.com/jobs/view/4402656770
ATS: Ashby,Teleport,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-14,REJECTED,UNKNOWN,Teleport + GTM Engineer + 2026-04-14,— Dedup amendment accepted 2026-08-30: per_6d523f811622's same-day LinkedIn message ('just applied') was sent immediately after the Teleport ATS confirmation and is merged into this opportunity.
ATS: Ashby,AirOps,Growth Engineer,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-04-10,GHOSTED,UNKNOWN,AirOps + Growth Engineer + 2026-04-10,21+ days after last Step 1 activity.
LinkedIn application → downstream confirmation: ATS: Greenhouse,Auctane,Pre-Sales Engineer - Atlanta,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-04-10,REJECTED,UNKNOWN,Auctane + Pre-Sales Engineer - Atlanta + 2026-04-10,Rejected 2026-05-14. LinkedIn Easy Apply/export record: job ID 4362136934; application date 2026-04-10; http://www.linkedin.com/jobs/view/4362136934
Application email: cresta.ai,Cresta,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-10,GHOSTED,UNKNOWN,Cresta + GTM Engineer + 2026-04-10,—
LinkedIn application,CRMIT Solutions,Ai Solutions Sales Specialist,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-04-10,GHOSTED,UNKNOWN,CRMIT Solutions + Ai Solutions Sales Specialist + 2026-04-10,LinkedIn application export; job ID 4394347364; http://www.linkedin.com/jobs/view/4394347364
ATS: Ashby,LangChain,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-10,GHOSTED,UNKNOWN,LangChain + GTM Engineer + 2026-04-10,21+ days after last Step 1 activity.
ATS: Ashby,Ontra,"Staff GTM Engineer, Marketing Ops","Growth, Demand Generation & Marketing",Resolved from a contemporaneous job newsletter,2026-04-10,REJECTED,UNKNOWN,"Ontra + Staff GTM Engineer, Marketing Ops + 2026-04-10","Role absent from confirmation and rejection. Evidence amendment accepted 2026-08-30: A contemporaneous newsletter identifies Ontra's opening as Staff GTM Engineer, Marketing Ops."
ATS: Ashby,Redis,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-10,GHOSTED,UNKNOWN,Redis + GTM Engineer + 2026-04-10,Role taken from subject; 21+ days after last activity.
ATS: Ashby,Rollstack,AI Growth Hacker,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-04-10,GHOSTED,UNKNOWN,Rollstack + AI Growth Hacker + 2026-04-10,21+ days after last Step 1 activity.
LinkedIn application,Verdent AI,Growth Marketing,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-04-10,GHOSTED,UNKNOWN,Verdent AI + Growth Marketing + 2026-04-10,LinkedIn application export; job ID 4399890339; http://www.linkedin.com/jobs/view/4399890339
LinkedIn application,RevPilots,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-09,GHOSTED,UNKNOWN,RevPilots + GTM Engineer + 2026-04-09,LinkedIn application export; job ID 4399435968; http://www.linkedin.com/jobs/view/4399435968
ATS: Workable,Sur,AI Revenue Engineer,Revenue & GTM Operations,Exact title present in source evidence,2026-04-09,REJECTED,UNKNOWN,Sur + AI Revenue Engineer + 2026-04-09,—
LinkedIn application + person/recruiter thread: LinkedIn recruiter/person outbound: per_c1316df91476 / 2X,2X,"GTM Engineer (Clay-centric, client portfolio)",GTM Engineering,Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,"2X + GTM Engineer (Clay-centric, client portfolio) + 2026-04-06","LinkedIn thread with per_c1316df91476 (Recruiter (internal, Corporate Recruiter)); source stage: Phone Screen; confidence: High. 2X recruiter pitched a Clay-heavy GTM Engineer role owning a small client portfolio end-to-end. You sent your calendar; slots didn't line up; you said you're 'super flexible' and offered to qualify yourself or refer someone. Unclear if the call happened. HubSpot/Salesforce + sequencing tools scope. LinkedIn Easy Apply/export record: job ID 4378539250; application date 2026-04-06; http://www.linkedin.com/jobs/view/4378539250 Taxonomy caveat: scheduling evidence does not prove attendance; GHOSTED and Interview Count UNKNOWN are retained pending a dated completion or outcome record."
LinkedIn application → ATS: Workable,AppGate,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,AppGate + GTM Engineer + 2026-04-06,"LinkedIn formal application export: job ID 4393579449; http://www.linkedin.com/jobs/view/4393579449. Workable record remained inactive 21+ days after last Step 1 activity. High-confidence legal-name merge accepted 2026-08-30: AppGate Cybersecurity, Inc. folded into AppGate."
LinkedIn application,Bask Health,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,Bask Health + Sales Engineer + 2026-04-06,LinkedIn application export; job ID 4389308174; http://www.linkedin.com/jobs/view/4389308174
LinkedIn application → downstream confirmation: Direct company application / recruiter follow-up: per_b51283d23704,BX Studio,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,BX Studio + GTM Engineer + 2026-04-06,Simon Siew requested a short video and compensation details; user completed the video-response screen. It was sent to the hiring manager; last update 2026-04-15 awaited the CEO. No live interview or later outcome established; original application channel unknown. LinkedIn Easy Apply/export record: job ID 4396642778; application date 2026-04-06; http://www.linkedin.com/jobs/view/4396642778
LinkedIn application,COLOSSUS TECHNOLOGY GROUP,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,COLOSSUS TECHNOLOGY GROUP + GTM Engineer + 2026-04-06,LinkedIn application export; job ID 4385958618; http://www.linkedin.com/jobs/view/4385958618
ATS: Greenhouse,Fixify,Go-To-Market Engineer (Contract),GTM Engineering,Exact title present in source evidence,2026-04-06,REJECTED,UNKNOWN,Fixify + Go-To-Market Engineer (Contract) + 2026-04-06,Same-day rejection; possible duplicate/reapplication.
ATS: Ashby,Payabli,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,Payabli + GTM Engineer + 2026-04-06,21+ days after last Step 1 activity.
Referral: per_7711a275900d via per_66bf50b3ebda → ATS: Ashby,"Pearl, Inc.",Lead GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,REJECTED,2,"Pearl, Inc. + Lead GTM Engineer + 2026-04-06","Two completed interview rounds documented and calendar-confirmed on 2026-05-05 and 2026-05-18; rejection received 2026-05-20. [User reconciliation 2026-08-30] per_7711a275900d referral through per_66bf50b3ebda; first phone interviewer's name unresolved, second interview with Chris."
LinkedIn application,QuadSci,Marketing GTM Engineer,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,QuadSci + Marketing GTM Engineer + 2026-04-06,LinkedIn application export; job ID 4389770201; http://www.linkedin.com/jobs/view/4389770201
LinkedIn application,Recur Software,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,Recur Software + GTM Engineer + 2026-04-06,LinkedIn application export; job ID 4383852596; http://www.linkedin.com/jobs/view/4383852596
ATS: Ashby,Rula,GTM Engineer (Remote),GTM Engineering,Exact title present in source evidence,2026-04-06,REJECTED,UNKNOWN,Rula + GTM Engineer (Remote) + 2026-04-06,—
ATS: Ashby,Sardine,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,REJECTED,UNKNOWN,Sardine + GTM Engineer + 2026-04-06,—
ATS: Rippling,Solv Health,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,REJECTED,UNKNOWN,Solv Health + GTM Engineer + 2026-04-06,Rejected 2026-04-21.
ATS: Ashby,Tapcheck,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,REJECTED,UNKNOWN,Tapcheck + GTM Engineer + 2026-04-06,Possible duplicate/reapplication with 2026-03-30 row.
Application email: unframe.ai,Unframe,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,Unframe + GTM Engineer + 2026-04-06,Possible related application to remote variant.
ATS: Workable,Valsoft Corporation,GTM Engineer - DockMaster,GTM Engineering,Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,Valsoft Corporation + GTM Engineer - DockMaster + 2026-04-06,21+ days after last Step 1 activity.
ATS: Ashby,Wrapbook,GTM Systems Engineer,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-04-06,GHOSTED,UNKNOWN,Wrapbook + GTM Systems Engineer + 2026-04-06,NDA requested; no later activity found; 21+ days elapsed.
ATS: Lever,Liatrio,GTM RevOps Engineer,Revenue & GTM Operations,Exact title present in source evidence,2026-04-05,GHOSTED,UNKNOWN,Liatrio + GTM RevOps Engineer + 2026-04-05,21+ days after last Step 1 activity.
Application email: companycam.com,CompanyCam,GTM Systems Engineer,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-04-03,GHOSTED,UNKNOWN,CompanyCam + GTM Systems Engineer + 2026-04-03,—
ATS: Greenhouse,Fixify,Go-To-Market Engineer (Contract),GTM Engineering,Exact title present in source evidence,2026-04-03,GHOSTED,UNKNOWN,Fixify + Go-To-Market Engineer (Contract) + 2026-04-03,Possible duplicate/reapplication with 2026-04-06.
Community: CAFE,Brand.ai,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-02,REJECTED,UNKNOWN,Brand.ai + GTM Engineer + 2026-04-02,Applied after seeing the role in CAFE 'jobs and opps'; rejected 2026-04-07.
LinkedIn application,Crossing Hurdles,GTM Lead,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-04-01,GHOSTED,UNKNOWN,Crossing Hurdles + GTM Lead + 2026-04-01,LinkedIn application export; job ID 2147622960; http://www.linkedin.com/jobs/view/2147622960
Application intermediary: per_36126609b904,Montauk Capital,Head of Commercial,Partnerships & Commercial,Exact title present in source evidence,2026-04-01,GHOSTED,UNKNOWN,Montauk Capital + Head of Commercial + 2026-04-01,Two identical messages deduplicated.
ATS: Greenhouse,Boulevard,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-31,GHOSTED,UNKNOWN,Boulevard + GTM Engineer + 2026-03-31,—
LinkedIn application,Fractional Demand,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-31,GHOSTED,UNKNOWN,Fractional Demand + GTM Engineer + 2026-03-31,LinkedIn application export; job ID 4392111555; http://www.linkedin.com/jobs/view/4392111555
LinkedIn application,NetRise,Go To Market (GTM) Engineer / Outbound Pipeline Development,GTM Engineering,Exact title present in source evidence,2026-03-31,GHOSTED,UNKNOWN,NetRise + Go To Market (GTM) Engineer / Outbound Pipeline Development + 2026-03-31,LinkedIn application export; job ID 4391881176; http://www.linkedin.com/jobs/view/4391881176
ATS: Greenhouse,Dagster Labs,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-30,GHOSTED,1,Dagster Labs + GTM Engineer + 2026-03-30,Intro interview completed; no later outcome after 21+ days. [User reconciliation 2026-08-30] One phone interview confirmed; interviewer name not supplied.
ATS: Ashby,G2,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-30,REJECTED,UNKNOWN,G2 + GTM Engineer + 2026-03-30,—
ATS: Greenhouse,Mento,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-30,GHOSTED,UNKNOWN,Mento + GTM Engineer + 2026-03-30,Possible duplicate/reapplication.
LinkedIn application → downstream confirmation: Application email: pandadoc.com,PandaDoc,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-30,REJECTED,UNKNOWN,PandaDoc + GTM Engineer + 2026-03-30,Application-security code documents process start; submission date uncertain; rejected 2026-04-27. LinkedIn Easy Apply/export record: job ID 4369211319; application date 2026-03-30; http://www.linkedin.com/jobs/view/4369211319
ATS: Ashby,Roboflow,RevOps GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-30,GHOSTED,UNKNOWN,Roboflow + RevOps GTM Engineer + 2026-03-30,21+ days after last Step 1 activity.
ATS: Ashby,Tapcheck,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-30,REJECTED,UNKNOWN,Tapcheck + GTM Engineer + 2026-03-30,Possible duplicate/reapplication with 2026-04-06 row.
ATS: Ashby,Tiger Data,GTM AI Engineer,GTM Engineering,Exact title present in source evidence,2026-03-30,REJECTED,UNKNOWN,Tiger Data + GTM AI Engineer + 2026-03-30,—
ATS: Lever,Unstructured,"GTM Engineer, Operations",GTM Engineering,Exact title present in source evidence,2026-03-30,GHOSTED,UNKNOWN,"Unstructured + GTM Engineer, Operations + 2026-03-30",21+ days after last Step 1 activity.
Application email: vercel.com,Vercel,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-30,GHOSTED,UNKNOWN,Vercel + GTM Engineer + 2026-03-30,—
LinkedIn application → downstream confirmation: ATS: Lever,DISQO,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-27,REJECTED,UNKNOWN,DISQO + GTM Engineer + 2026-03-27,Earliest documented email is rejection; application date unknown. LinkedIn Easy Apply/export record: job ID 4385292987; application date 2026-03-27; http://www.linkedin.com/jobs/view/4385292987
Jobright.ai application (Direct Apply),Jobright.ai,Product Manager (Early Career),"Product, Technical & AI",Exact title present in source evidence,2026-03-27,GHOSTED,UNKNOWN,Jobright.ai + Product Manager (Early Career) + 2026-03-27,"Jobright application log; Santa Clara, CA; Hybrid; New Grad, Entry Level; $85K/yr - $120K/yr."
Application email: pinterest.com,Pinterest,Apprentice Engineer,"Product, Technical & AI",Exact title present in source evidence,2026-03-25,REJECTED,UNKNOWN,Pinterest + Apprentice Engineer + 2026-03-25,Rejected 2026-04-28.
ATS: Greenhouse,Mento,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-24,GHOSTED,UNKNOWN,Mento + GTM Engineer + 2026-03-24,Possible duplicate/reapplication.
Application email: orchestry.com,Orchestry,GTM Engineer (Sales),"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-03-24,REJECTED,UNKNOWN,Orchestry + GTM Engineer (Sales) + 2026-03-24,"Recruiter screen with Jay Banga scheduled for 2026-03-25 but missed, then rescheduled for 2026-03-26. Rejection arrived 2026-03-27 and thanks the user for effort in the interview process, but attendance is not explicit enough to assign a numeric count."
LinkedIn application,Casper Studios,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-23,GHOSTED,UNKNOWN,Casper Studios + GTM Engineer + 2026-03-23,LinkedIn application export; job ID 4381059333; http://www.linkedin.com/jobs/view/4381059333
ATS: Greenhouse,Glean,GTM Engineer (Marketing),"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-03-23,GHOSTED,UNKNOWN,Glean + GTM Engineer (Marketing) + 2026-03-23,—
LinkedIn recruiter/person outbound: per_f25d88915b87 / New York Life,New York Life,New York Life opportunity (exact title unresolved),Financial Services & Advisory,Functional role recovered; formal title remains unresolved (was Unspecified (financial)),2026-03-17,GHOSTED,UNKNOWN,New York Life + New York Life opportunity (exact title unresolved) + 2026-03-17,"LinkedIn thread with per_f25d88915b87 (Recruiter (internal)); source stage: Ghosted; confidence: Medium. Third NY Life touch, referencing your Mobb business-development experience. Not replied to. Exact-title repair: The recruiter and company are known, but the specific New York Life requisition was not stated."
Application email: hypergen.io,Hypergen,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-11,GHOSTED,UNKNOWN,Hypergen + GTM Engineer + 2026-03-11,"Interview invitation was followed by a confirmed 20-minute calendar meeting with Ani Kaneva on 2026-04-20. Calendar acceptance proves scheduling, not attendance; completed interview count remains UNKNOWN. No later outcome found."
Recruiter intermediary: per_6ea1942d2180 → Opsin Security,Opsin Security,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-09,GHOSTED,2,Opsin Security + GTM Engineer + 2026-03-09,"Two completed interviews: an initial alignment interview through per_6ea1942d2180, followed by a founder interview with per_61ff3219a38c. No later outcome found. [User reconciliation accepted 2026-08-30]."
Cold outreach I initiated via LinkedIn: per_e4b688b984ea / The Workflow Company,The Workflow Company,AI/GTM Automation Generalist (part-time to full-time),"GTM Strategy, Leadership & Generalist",Functional role recovered from the founder's hiring post; the post did not use a formal requisition title,2026-03-09,REJECTED,0,The Workflow Company + AI/GTM Automation Generalist (part-time to full-time) + 2026-03-09,"LinkedIn thread with per_e4b688b984ea (Internal Employee (founder)); source stage: Rejected; confidence: High. You sent your portfolio and videos. Joe (OOO, then caught up) gave a thoughtful soft no: 'not quite the right fit for this exact role as I envision it... your skill set + taste + SDR experience could be incredibly valuable in the near future.' Both agreed to keep in touch. Most respectful rejection in the export. Door explicitly left open. Evidence amendment accepted 2026-08-30: per_e4b688b984ea's matching hiring post was for The Workflow Company and described an AI/GTM automation generalist engagement beginning part-time with a path to full-time; the prior company label Parallel was incorrect."
LinkedIn recruiter outbound: per_83a65c6fe4d6 / Virtru → company application,Virtru,Director of Go-to-Market AI,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-03-09,REJECTED,UNKNOWN,Virtru + Director of Go-to-Market AI + 2026-03-09,Rejected 2026-04-04. LinkedIn recruiter outreach and application activity began the same day.
ATS: Greenhouse,Anthropic,"Software Engineer, Business Technology","Product, Technical & AI",Exact title present in source evidence,2026-03-08,REJECTED,UNKNOWN,"Anthropic + Software Engineer, Business Technology + 2026-03-08",Rejected 2026-03-09.
Application email: beautiful.ai,Beautiful.ai,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-08,REJECTED,1,Beautiful.ai + GTM Engineer + 2026-03-08,One completed interview with Emily Saul on 2026-03-17; rejected 2026-03-26. [User reconciliation 2026-08-30] Interviewer: Emily.
Cold outreach I initiated via LinkedIn: per_f87ef433aef5 / UNKNOWN — digital product builder,UNKNOWN — digital product builder,Digital product builder role (exact title unresolved),"Product, Technical & AI",Functional role recovered; formal title remains unresolved (was Unspecified),2026-03-07,GHOSTED,UNKNOWN,UNKNOWN — digital product builder + Digital product builder role (exact title unresolved) + 2026-03-07,LinkedIn thread with per_f87ef433aef5 (Internal Employee); source stage: Ghosted; confidence: Medium. Friends in Atlanta sent you a 'digital product builder application'; you cold-messaged Kayla asking for an intro. No reply. Exact-title repair: The LinkedIn thread explicitly calls it a digital product builder application but does not preserve the formal title.
LinkedIn application,Propel,Founding Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-03-05,GHOSTED,UNKNOWN,Propel + Founding Sales Engineer + 2026-03-05,LinkedIn application export; job ID 4377712415; http://www.linkedin.com/jobs/view/4377712415
LinkedIn application,Scout Global,Founding Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-03-05,GHOSTED,UNKNOWN,Scout Global + Founding Sales Engineer + 2026-03-05,LinkedIn application export; job ID 4373132807; http://www.linkedin.com/jobs/view/4373132807
LinkedIn recruiter/person outbound: per_85ce3b5e7e8b / New York Life,New York Life,Financial Advisor / Fast-Track-to-Management,Financial Services & Advisory,Exact title present in source evidence,2026-03-04,GHOSTED,UNKNOWN,New York Life + Financial Advisor / Fast-Track-to-Management + 2026-03-04,LinkedIn thread with per_85ce3b5e7e8b (Recruiter (internal)); source stage: Ghosted; confidence: Medium. Second NY Life pitch off your open-to-work status (first thread dates to Feb 2025). Not replied to. Insurance recruiting; repeat offender.
LinkedIn recruiter/person outbound: per_1dfe7af83245 / TheKiln,TheKiln,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-03-03,GHOSTED,1,TheKiln + GTM Engineer + 2026-03-03,"LinkedIn thread with per_1dfe7af83245 (Internal Employee); source stage: Ghosted; confidence: High. Found you via GTM Engineer School testimonials; you told him you were looking for a GTME gig and hopped on a same-day video call. He promised an intro to TheKiln founders Patrick and Mathias. Your 03/06 follow-up ('Any word boss man?') went unanswered. Same-day call happened. Founder intro promised, not delivered in thread."
LinkedIn recruiter/person outbound: per_63213c5fe064 / IBM,IBM,Brand Technical Sales Specialist (Brookhaven/Atlanta),"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-02-27,GHOSTED,UNKNOWN,IBM + Brand Technical Sales Specialist (Brookhaven/Atlanta) + 2026-02-27,"LinkedIn thread with per_63213c5fe064 (Recruiter (internal, IBM Talent Acquisition)); source stage: Ghosted; confidence: High. IBM sourcer pitch for a technical sales role. Not replied to."
ATS: Ashby,SentiLink,GTM Engineer,GTM Engineering,Resolved from a same-day job newsletter; ATS receipt omitted the title,2026-02-23,GHOSTED,UNKNOWN,SentiLink + GTM Engineer + 2026-02-23,"Role absent; possible duplicate of later SentiLink role, not merged. Evidence amendment accepted 2026-08-30: A same-day job newsletter identifies SentiLink's opening as GTM Engineer."
ATS: Workable,Smeetz,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-02-20,GHOSTED,UNKNOWN,Smeetz + GTM Engineer + 2026-02-20,21+ days after last Step 1 activity.
Application email: testgorilla.teamtailor-mail.com,TestGorilla,Go-to-Market Engineer,GTM Engineering,Exact title present in source evidence,2026-02-20,WITHDRAWN,UNKNOWN,TestGorilla + Go-to-Market Engineer + 2026-02-20,"Assessment requested; employer paused recruitment on 2026-04-23. WITHDRAWN denotes employer-paused role, not candidate withdrawal."
Recruiter/intermediary: WilsonHR,Unknown employer via WilsonHR,Outbound Sales Consultant III,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-02-13,GHOSTED,UNKNOWN,Unknown employer via WilsonHR + Outbound Sales Consultant III + 2026-02-13,Employer identity unresolved.
ATS: Ashby,Ambrook,Business Operations Lead,Revenue & GTM Operations,Exact title present in source evidence,2026-02-11,REJECTED,UNKNOWN,Ambrook + Business Operations Lead + 2026-02-11,Rejection called role 'Business Operations'; treated as same thread provisionally.
LinkedIn recruiter/person outbound: per_342b3fd74701 / Handshake AI Fellowship,Handshake AI Fellowship,Sales & Marketing Professionals project (remote),"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-02-11,GHOSTED,UNKNOWN,Handshake AI Fellowship + Sales & Marketing Professionals project (remote) + 2026-02-11,LinkedIn thread with per_342b3fd74701 (Recruiter (program)); source stage: Ghosted; confidence: Medium. Fellowship gig pitch at $120/hr for sales/marketing expertise applied to AI work. Not replied to. $120/hr rate mentioned.
LinkedIn application,Databar.ai,GTM Engineer (Growth & Sales),"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-02-10,GHOSTED,UNKNOWN,Databar.ai + GTM Engineer (Growth & Sales) + 2026-02-10,LinkedIn application export; job ID 4361842646; http://www.linkedin.com/jobs/view/4361842646
ATS: Greenhouse,GitLab,GTM Planning & Operations Analyst,Revenue & GTM Operations,Exact title present in source evidence,2026-02-10,REJECTED,UNKNOWN,GitLab + GTM Planning & Operations Analyst + 2026-02-10,Role later marked unavailable/rejected 2026-04-17.
LinkedIn application,MICHELIN Connected Fleet,Demand Generation and Growth Marketing Manager,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-02-10,GHOSTED,UNKNOWN,MICHELIN Connected Fleet + Demand Generation and Growth Marketing Manager + 2026-02-10,LinkedIn application export; job ID 4371060559; http://www.linkedin.com/jobs/view/4371060559
LinkedIn application,Pegasystems,GTM GenAI Product Owner,"Product, Technical & AI",Exact title present in source evidence,2026-02-10,GHOSTED,UNKNOWN,Pegasystems + GTM GenAI Product Owner + 2026-02-10,LinkedIn application export; job ID 4363036469; http://www.linkedin.com/jobs/view/4363036469
Application email: gather.ai,Gather AI,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-02-09,GHOSTED,UNKNOWN,Gather AI + GTM Engineer + 2026-02-09,—
LinkedIn application,Flexbone,Founding GTM Account Executive,Founding GTM,Exact title present in source evidence,2026-02-08,GHOSTED,UNKNOWN,Flexbone + Founding GTM Account Executive + 2026-02-08,LinkedIn application export; job ID 4365767593; http://www.linkedin.com/jobs/view/4365767593
ATS: Greenhouse,Manifold AI,Growth Marketing Manager,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-02-06,REJECTED,UNKNOWN,Manifold AI + Growth Marketing Manager + 2026-02-06,Rejected same day.
LinkedIn application → downstream confirmation: ATS: Greenhouse,Verkada,"Enterprise Solutions Engineer, Greater Atlanta Area","Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-02-04,GHOSTED,UNKNOWN,"Verkada + Enterprise Solutions Engineer, Greater Atlanta Area + 2026-02-04",— LinkedIn Easy Apply/export record: job ID 4287210385; application date 2026-02-04; http://www.linkedin.com/jobs/view/4287210385
ATS: Greenhouse,Beacon Software,GTM Engineer,GTM Engineering,Resolved from an archived contemporaneous job listing,2026-01-26,GHOSTED,UNKNOWN,Beacon Software + GTM Engineer + 2026-01-26,Role unresolved. Evidence amendment accepted 2026-08-30: An archived Built In listing identifies Beacon Software's opening as GTM Engineer and was active at the application date.
LinkedIn application,DevSignal,Growth Specialist,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-01-26,GHOSTED,UNKNOWN,DevSignal + Growth Specialist + 2026-01-26,LinkedIn application export; job ID 4355705805; http://www.linkedin.com/jobs/view/4355705805
LinkedIn relationship/referral: CEO per_5864edd8d1eb → Glytec,Glytec,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-01-21,REJECTED,1,Glytec + GTM Engineer + 2026-01-21,LinkedIn DMs with CEO per_5864edd8d1eb led to one completed interview with Clayton Maike. The thread supports a post-interview rejection reason: Clayton considered the background too high-churn.
Recruiter outbound / talent pool: micro1,micro1 / unknown client,Finance Expert,Financial Services & Advisory,Exact title present in source evidence,2026-01-21,GHOSTED,UNKNOWN,micro1 / unknown client + Finance Expert + 2026-01-21,Separate talent-pool opportunity; no completed application/outcome established.
LinkedIn application,Pickering Interfaces,Field Sales Engineer - Southeast,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-01-20,GHOSTED,UNKNOWN,Pickering Interfaces + Field Sales Engineer - Southeast + 2026-01-20,LinkedIn application export; job ID 4350074781; http://www.linkedin.com/jobs/view/4350074781
Talent marketplace: micro1,micro1 / unknown client,AI Training Pilot Project,"Enablement, Adoption & Education",Exact title present in source evidence,2026-01-12,GHOSTED,1,micro1 / unknown client + AI Training Pilot Project + 2026-01-12,Email says interview completed and profile under client review; no final outcome.
LinkedIn recruiter/person outbound: per_648a39346310 / UNKNOWN — per_648a39346310 referral,UNKNOWN — per_648a39346310 referral,"SDR (Atlanta, hybrid)",Sales Development & Business Development,Exact title present in source evidence,2026-01-06,GHOSTED,UNKNOWN,"UNKNOWN — per_648a39346310 referral + SDR (Atlanta, hybrid) + 2026-01-06",LinkedIn thread with per_648a39346310 (Internal Employee (referrer)); source stage: Ghosted; confidence: High. Personal-network referral: 'My best friend is hiring and I told her I'd look through my network.' Not replied to. Warmest kind of inbound — and it still went unanswered. Worth a revisit.
